,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9,Block 10,Block 11,Block 12,Block 13,Block 14,Block 15,Block 16,Block 17,Block 18,Block 19,Block 20,Block 21,Block 22,Block 23,Block 24,Block 25,Block 26,Block 27
Acute Pain CBY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Anesthesia CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
ARC CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigelow CBY,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0
Blood Bank CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiology (DOM) CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCU (DOM) CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic Pain CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Outreach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depth of Anesthesia CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermatology (DOM) CBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flex CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gastroenterology (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GIFT CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Heme/Onc (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Hospital Admin (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Infectious Disease (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Inpatient Addiction (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGH ED CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MGH Surgery CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Nephrology (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Neurology (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NORA QI CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NWH Med Nights CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NWH Medicine CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NWH MICU CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NWH Surgery CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pre-Tutorial,,,,,,,,,,,,,,,,,,,,,6,0,6,0,6,0,6
PRIME CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Psychiatry Consults (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Resident as Teacher (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SDU CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Self-Design CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SICU-E4 CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Simulation (DOM) CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Tutorial 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutorial 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacation CBY,,,,,,,,,,,,,,,,,,,,,,,,,,,0
